-1.31185939385698e+002,-3.03363872788156e+000
-1.20715694106848e+002,-2.81025309785657e+000
-1.09688344580238e+002,-2.53114854413489e+000
-1.00294062654043e+002,-2.14077612143258e+000
-9.03528751848515e+001,-1.76893134571909e+000
-8.04014890108956e+001,-1.32283999932009e+000
-7.04730499226598e+001,-1.04380343696351e+000
-6.10915163774201e+001,-7.46239227618092e-001
-5.00743655555744e+001,-5.41381244581938e-001
-3.96066699529160e+001,-3.36557257228332e-001
-3.02455338172052e+001,-1.87486189253965e-001
-2.03476908432629e+001,-1.31189338953953e-001
-9.89529329775118e+000,-3.77352076286313e-002
 5.44355866804921e-001,-3.70892896602131e-002
 1.09967534123166e+001, 5.63648416651086e-002
 2.03527901956452e+001, 1.68312624296714e-001
 3.02557325219697e+001, 2.61732759939488e-001
 4.01663238768676e+001, 4.10837823596403e-001
 5.00820145841478e+001, 5.97066172596080e-001
 5.94609984531964e+001, 8.76068739270113e-001
 7.04806989512332e+001, 1.09948836497765e+000
 8.04193367442335e+001, 1.45277149801975e+000
 8.97983206132821e+001, 1.73177406469378e+000
 1.00838418520848e+002, 2.10368683177236e+000
 1.10774506637657e+002, 2.43840832214309e+000
 1.21257500297462e+002, 2.75460216552498e+000
 1.30654331899849e+002, 3.16353623089868e+000
